,entry,exit,profit,draw_down,run_up
410,40.19,39.89,-0.7464543418760794,39.89,40.2
411,39.89,39.32,-1.4289295562797677,39.32,40.03
412,39.8,39.5,-0.7537688442211032,39.5,39.8
413,39.91,39.54,-0.9270859433725853,39.54,39.91
414,40.26,40.07,-0.4719324391455504,40.07,40.26
415,40.07,39.88,-0.47417020214624017,39.88,40.83
416,40.83,40.59,-0.5878030859661876,40.59,40.83
417,40.59,40.34,-0.6159152500615939,40.34,40.59
418,39.7,39.53,-0.4282115869017722,39.53,39.7
419,40.87,40.61,-0.6361634450697262,40.61,40.87
420,40.05,39.77,-0.6991260923845055,39.77,40.06
421,39.24,38.99,-0.6371049949031593,38.99,39.24
422,39.18,38.86,-0.8167432363450744,38.86,39.21
423,39.18,38.51,-1.7100561510975054,38.51,39.25
424,38.38,43.42,13.131839499739439,38.38,47.06
425,43.35,43.21,-0.32295271049596064,43.21,43.56
426,42.76,42.6,-0.3741814780168329,42.6,42.86
427,42.46,42.19,-0.6358926048045332,42.19,42.9
428,42.87,42.36,-1.1896431070678726,42.36,44.15
429,41.68,41.42,-0.62380038387716,41.42,42.15
430,41.91,44.24,5.55953233118589,41.91,45.46
431,46.02,45.69,-0.7170795306388644,45.69,46.02
432,45.76,46.68,2.0104895104895215,45.76,50.65
433,48.71,48.35,-0.7390679531923627,48.35,48.96
434,49.52,49.25,-0.5452342487883732,49.25,49.52
435,49.34,48.92,-0.8512363194162931,48.92,49.34
436,47.77,47.62,-0.31400460540088604,47.62,48.19
437,47.82,47.22,-1.2547051442910906,47.22,48.8
438,42.74,42.33,-0.9592887225082003,42.33,44.14
439,43.56,43.39,-0.39026629935721147,43.39,43.8
440,44.4,44.18,-0.49549549549549043,44.18,44.42
441,44.36,43.65,-1.6005410279531174,43.65,46.13
442,44.43,44.23,-0.4501462975467052,44.23,44.43
443,44.47,44.31,-0.35979311895659727,44.31,44.5
444,43.5,43.31,-0.43678160919540243,43.31,44.02
445,43.92,44.87,2.16302367941712,43.92,49.71
446,46.66,47.12,0.9858551221603173,46.57,47.97
447,47.86,47.65,-0.43877977434183535,47.65,47.86
448,44.01,43.86,-0.3408316291751867,43.86,44.7
449,43.52,43.27,-0.574448529411764,43.27,44.58
450,41.44,41.27,-0.4102316602316525,41.27,41.44
451,41.46,41.3,-0.3859141341051697,41.3,41.46
452,41.36,41.16,-0.4835589941972973,41.16,41.36
453,42.08,41.94,-0.332699619771859,41.94,42.08
454,41.94,41.81,-0.30996661897948474,41.81,42.11
455,41.75,44.0,5.389221556886237,41.67,45.84
456,45.02,44.86,-0.35539760106619855,44.86,45.02
457,44.65,44.48,-0.38073908174692805,44.48,45.38
458,42.44,42.25,-0.44769085768142647,42.25,42.72
459,43.34,59.14,36.455929856945076,43.28,59.14
460,59.14,58.4,-1.2512681772066325,58.4,59.14
461,58.4,58.08,-0.5479452054794498,58.08,58.4
462,59.06,56.83,-3.7758211987809043,56.83,64.91
463,58.16,57.88,-0.4814305364511551,57.88,58.16
464,58.28,58.27,-0.017158544955386823,58.27,59.75
